"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Reading","Fall",1,147,25
"Reading","Fall",2,159,25
"Reading","Fall",3,172,25
"Reading","Fall",4,184,25
"Reading","Fall",5,192,25
"Reading","Fall",6,198,25
"Reading","Fall",7,201,25
"Reading","Fall",8,204,25
"Reading","Fall",9,204,25
"Reading","Fall",10,206,25
"Reading","Fall",11,206,25
"Reading","Fall",12,205,25
"Reading","Fall",0,133,30
"Reading","Fall",1,149,30
"Reading","Fall",2,161,30
"Reading","Fall",3,175,30
"Reading","Fall",4,186,30
"Reading","Fall",5,195,30
"Reading","Fall",6,200,30
"Reading","Fall",7,204,30
"Reading","Fall",8,207,30
"Reading","Fall",9,207,30
"Reading","Fall",10,208,30
"Reading","Fall",11,209,30
"Reading","Fall",12,208,30
"Reading","Fall",0,134,35
